originalFilename,publicFilename,sourceType,sourceDescription,isCameraPhoto,isAiGenerated,canClaimRealFish,allowedUsage,disclosure,pageUsage,verifiedBy
af956973-1637-4267-afdb-96feade1b815/1-Photo-1.jpg,reference-concept-01-home-desktop.jpg,design-reference,桌機首頁網站概念圖,false,false,false,內部設計參考不得公開載入,網站概念圖不是實拍素材,不公開使用,使用者明確指定為網站概念圖
af956973-1637-4267-afdb-96feade1b815/2-Photo-2.jpg,reference-concept-02-home-mobile.jpg,design-reference,手機首頁網站概念圖,false,false,false,內部設計參考不得公開載入,網站概念圖不是實拍素材,不公開使用,使用者明確指定為網站概念圖
af956973-1637-4267-afdb-96feade1b815/3-Photo-3.jpg,reference-concept-03-fish-list.jpg,design-reference,魚種總覽網站概念圖,false,false,false,內部設計參考不得公開載入,網站概念圖不是實拍素材,不公開使用,使用者明確指定為網站概念圖
af956973-1637-4267-afdb-96feade1b815/4-Photo-4.jpg,reference-concept-04-gallery.jpg,design-reference,圖片相簿網站概念圖,false,false,false,內部設計參考不得公開載入,網站概念圖不是實拍素材,不公開使用,使用者明確指定為網站概念圖
af956973-1637-4267-afdb-96feade1b815/5-Photo-5.jpg,reference-concept-05-fish-detail.jpg,design-reference,魚種詳情網站概念圖,false,false,false,內部設計參考不得公開載入,網站概念圖不是實拍素材,不公開使用,使用者明確指定為網站概念圖
fc5ddd03-4d36-4d15-96a6-f3b96f90042c/1-Photo-1.jpg,ai-display-fish-01-green-brown.jpg,ai-generated,綠褐甲紋異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁／魚種／詳情／相簿／教學,使用者於 2026-07-27 明確更正為 AI 生成
fc5ddd03-4d36-4d15-96a6-f3b96f90042c/2-Photo-2.jpg,ai-display-fish-02-maze-pattern.jpg,ai-generated,迷宮甲紋異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁／魚種／詳情／相簿,使用者於 2026-07-27 明確更正為 AI 生成
fc5ddd03-4d36-4d15-96a6-f3b96f90042c/3-Photo-3.jpg,ai-display-fish-03-light-stripe.jpg,ai-generated,淺色條紋異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁／魚種／詳情／相簿,使用者於 2026-07-27 明確更正為 AI 生成
fc5ddd03-4d36-4d15-96a6-f3b96f90042c/4-Photo-4.jpg,ai-display-fish-04-blue-spotted.jpg,ai-generated,藍點星紋異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁／魚種／詳情／相簿,使用者於 2026-07-27 明確更正為 AI 生成
fc5ddd03-4d36-4d15-96a6-f3b96f90042c/5-Photo-5.jpg,ai-display-fish-05-orange-fin.jpg,ai-generated,橘色鰭緣異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁首屏／魚種／詳情／相簿,使用者於 2026-07-27 明確更正為 AI 生成
0f47f897-0a29-410f-84dd-bc34f219a30d/1-Photo-1.jpg,ai-display-fish-06-white-spotted.jpg,ai-generated,黑底白點異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁／魚種／詳情／相簿,使用者於 2026-07-27 明確更正為 AI 生成
0f47f897-0a29-410f-84dd-bc34f219a30d/2-Photo-2.jpg,ai-display-fish-07-gold-spotted.jpg,ai-generated,黃金點紋異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁／魚種／詳情／相簿／近期魚況,使用者於 2026-07-27 明確更正為 AI 生成
0f47f897-0a29-410f-84dd-bc34f219a30d/3-Photo-3.jpg,ai-display-fish-08-leopard-pattern.jpg,ai-generated,豹紋高帆異形外觀示意,false,true,false,網站視覺與外觀分類展示,"AI 生成示意圖，僅供網站視覺與外觀分類展示，不代表魚宅水族實際個體、品系、現貨或繁殖成果。",首頁／魚種／詳情／相簿,使用者於 2026-07-27 明確更正為 AI 生成
